class,spell_id,name,rank,school,cast_type,cast_time_ms,duration_ms,speed,effect_ids,aura_ids,implicit_targets_a,implicit_targets_b,effect_misc_values,effect_item_types,visual_id,precast_kit,precast_animation,precast_models,cast_kit,cast_animation,cast_models,impact_kit,impact_animation,impact_models,state_kit,state_animation,state_models,channel_kit,channel_animation,channel_models,missile_model,coverage
"Mage",8412,"Fire Blast","Rank 4",2,INSTANT,0,0,0,"2|0|0","0|0|0","6|0|0","0|0|0","0|0|0","0|0|0",143,0,,"",38,53,"patch.MPQ:Spells\Fire_Cast_Hand.m2",728,9,"patch.MPQ:Spells\Fire_ImpactDD_Chest.m2",0,,"",0,,"","",MEASURED
"Mage",8413,"Fire Blast","Rank 5",2,INSTANT,0,0,0,"2|0|0","0|0|0","6|0|0","0|0|0","0|0|0","0|0|0",143,0,,"",38,53,"patch.MPQ:Spells\Fire_Cast_Hand.m2",728,9,"patch.MPQ:Spells\Fire_ImpactDD_Chest.m2",0,,"",0,,"","",MEASURED
"Mage",8416,"Arcane Missiles","Rank 4",6,CHANNEL,0,5000,0,"6|6|0","23|4|0","1|6|0","0|0|0","0|0|0","0|0|0",262,0,,"",0,,"",0,,"",0,,"",729,124,"patch.MPQ:Spells\Magic_PreCast_Hand.m2","",MEASURED
"Mage",8417,"Arcane Missiles","Rank 5",6,CHANNEL,0,5000,0,"6|6|0","23|4|0","1|6|0","0|0|0","0|0|0","0|0|0",262,0,,"",0,,"",0,,"",0,,"",729,124,"patch.MPQ:Spells\Magic_PreCast_Hand.m2","",MEASURED
"Mage",8422,"Flamestrike","Rank 3",2,CAST_TIME,3000,8000,0,"2|27|0","0|3|0","16|28|0","0|0|0","0|0|0","0|0|0",33,60,52,"patch.MPQ:Spells\Fire_Precast_Hand.m2",61,54,"patch.MPQ:Spells\Fire_Cast_Hand.m2",0,,"",235,,"patch.MPQ:Spells\Immolate_State_Base.m2",716,125,"patch.MPQ:Spells\Fire_Precast_Low_Hand.m2","",MEASURED
"Mage",8423,"Flamestrike","Rank 4",2,CAST_TIME,3000,8000,0,"2|27|0","0|3|0","16|28|0","0|0|0","0|0|0","0|0|0",33,60,52,"patch.MPQ:Spells\Fire_Precast_Hand.m2",61,54,"patch.MPQ:Spells\Fire_Cast_Hand.m2",0,,"",235,,"patch.MPQ:Spells\Immolate_State_Base.m2",716,125,"patch.MPQ:Spells\Fire_Precast_Low_Hand.m2","",MEASURED
"Mage",8427,"Blizzard","Rank 3",4,CHANNEL,0,8000,0,"27|0|0","3|0|0","28|0|0","0|0|0","0|0|0","0|0|0",259,197,52,"patch.MPQ:Spells\Ice_Precast_Low_Hand.m2|patch.MPQ:Spells\Ice_Precast_Med_Hand.m2",5390,125,"patch.MPQ:Spells\Ice_Precast_Med_Hand.m2",413,,"patch.MPQ:Spells\Blizzard_Impact_Base.m2",0,,"",717,125,"patch.MPQ:Spells\Ice_Precast_Low_Hand.m2","",MEASURED
"Mage",8437,"Arcane Explosion","Rank 2",6,INSTANT,0,0,0,"2|0|0","0|0|0","22|0|0","15|0|0","0|0|0","0|0|0",965,266,52,"patch.MPQ:Spells\Magic_PreCast_Hand.m2",1004,54,"patch.MPQ:Spells\ArcaneExplosion_Base.m2",1005,,"patch.MPQ:Spells\ArcaneExplosion_Impact_Chest.m2",0,,"",0,,"","",MEASURED
"Mage",8438,"Arcane Explosion","Rank 3",6,INSTANT,0,0,0,"2|0|0","0|0|0","22|0|0","15|0|0","0|0|0","0|0|0",965,266,52,"patch.MPQ:Spells\Magic_PreCast_Hand.m2",1004,54,"patch.MPQ:Spells\ArcaneExplosion_Base.m2",1005,,"patch.MPQ:Spells\ArcaneExplosion_Impact_Chest.m2",0,,"",0,,"","",MEASURED
"Mage",8439,"Arcane Explosion","Rank 4",6,INSTANT,0,0,0,"2|0|0","0|0|0","22|0|0","15|0|0","0|0|0","0|0|0",965,266,52,"patch.MPQ:Spells\Magic_PreCast_Hand.m2",1004,54,"patch.MPQ:Spells\ArcaneExplosion_Base.m2",1005,,"patch.MPQ:Spells\ArcaneExplosion_Impact_Chest.m2",0,,"",0,,"","",MEASURED
"Mage",8444,"Scorch","Rank 2",2,CAST_TIME,1500,0,0,"2|0|0","0|0|0","6|0|0","0|0|0","0|0|0","0|0|0",945,30,51,"patch.MPQ:Spells\Fire_Precast_Hand.m2",38,53,"patch.MPQ:Spells\Fire_Cast_Hand.m2",2609,,"patch.MPQ:Spells\Scorch_Low_Chest.m2",0,,"",0,,"","",MEASURED
"Mage",8445,"Scorch","Rank 3",2,CAST_TIME,1500,0,0,"2|0|0","0|0|0","6|0|0","0|0|0","0|0|0","0|0|0",945,30,51,"patch.MPQ:Spells\Fire_Precast_Hand.m2",38,53,"patch.MPQ:Spells\Fire_Cast_Hand.m2",2609,,"patch.MPQ:Spells\Scorch_Low_Chest.m2",0,,"",0,,"","",MEASURED
"Mage",8446,"Scorch","Rank 4",2,CAST_TIME,1500,0,0,"2|0|0","0|0|0","6|0|0","0|0|0","0|0|0","0|0|0",945,30,51,"patch.MPQ:Spells\Fire_Precast_Hand.m2",38,53,"patch.MPQ:Spells\Fire_Cast_Hand.m2",2609,,"patch.MPQ:Spells\Scorch_Low_Chest.m2",0,,"",0,,"","",MEASURED
"Mage",8450,"Dampen Magic","Rank 2",6,INSTANT,0,600000,0,"6|6|0","14|115|0","57|57|0","0|0|0","126|126|0","0|0|0",970,266,52,"patch.MPQ:Spells\Magic_PreCast_Hand.m2",267,54,"patch.MPQ:Spells\Magic_Cast_Hand.m2",992,,"patch.MPQ:Spells\ArcaneSpirit_Impact_Base.m2",0,,"",0,,"","",MEASURED
"Mage",8451,"Dampen Magic","Rank 3",6,INSTANT,0,600000,0,"6|6|0","14|115|0","57|57|0","0|0|0","126|126|0","0|0|0",970,266,52,"patch.MPQ:Spells\Magic_PreCast_Hand.m2",267,54,"patch.MPQ:Spells\Magic_Cast_Hand.m2",992,,"patch.MPQ:Spells\ArcaneSpirit_Impact_Base.m2",0,,"",0,,"","",MEASURED
"Mage",8455,"Amplify Magic","Rank 2",6,INSTANT,0,600000,0,"6|6|0","14|115|0","57|57|0","0|0|0","126|126|0","0|0|0",969,266,52,"patch.MPQ:Spells\Magic_PreCast_Hand.m2",267,54,"patch.MPQ:Spells\Magic_Cast_Hand.m2",991,,"patch.MPQ:Spells\AmplifyMagic_Impact_Base.m2",0,,"",0,,"","",MEASURED
"Mage",8457,"Fire Ward","Rank 2",2,INSTANT,0,30000,0,"6|6|0","69|74|0","1|1|0","0|0|0","4|4|0","0|0|0",290,60,52,"patch.MPQ:Spells\Fire_Precast_Hand.m2",61,54,"patch.MPQ:Spells\Fire_Cast_Hand.m2",448,,"patch.MPQ:Spells\FireWard_Impact_Chest.m2",0,,"",0,,"","",MEASURED
"Mage",8458,"Fire Ward","Rank 3",2,INSTANT,0,30000,0,"6|6|0","69|74|0","1|1|0","0|0|0","4|4|0","0|0|0",290,60,52,"patch.MPQ:Spells\Fire_Precast_Hand.m2",61,54,"patch.MPQ:Spells\Fire_Cast_Hand.m2",448,,"patch.MPQ:Spells\FireWard_Impact_Chest.m2",0,,"",0,,"","",MEASURED
"Mage",8461,"Frost Ward","Rank 2",4,INSTANT,0,30000,0,"6|6|0","69|74|0","1|1|0","0|0|0","16|16|0","0|0|0",291,197,52,"patch.MPQ:Spells\Ice_Precast_Low_Hand.m2|patch.MPQ:Spells\Ice_Precast_Med_Hand.m2",205,54,"patch.MPQ:Spells\Ice_Precast_Med_Hand.m2",450,,"patch.MPQ:Spells\FrostWard_Impact_Chest.m2",0,,"",0,,"","",MEASURED
"Mage",8462,"Frost Ward","Rank 3",4,INSTANT,0,30000,0,"6|6|0","69|74|0","1|1|0","0|0|0","16|16|0","0|0|0",291,197,52,"patch.MPQ:Spells\Ice_Precast_Low_Hand.m2|patch.MPQ:Spells\Ice_Precast_Med_Hand.m2",205,54,"patch.MPQ:Spells\Ice_Precast_Med_Hand.m2",450,,"patch.MPQ:Spells\FrostWard_Impact_Chest.m2",0,,"",0,,"","",MEASURED
"Mage",8492,"Cone of Cold","Rank 2",4,INSTANT,0,8000,0,"6|2|0","33|0|0","24|24|0","0|0|0","0|0|0","0|0|0",1007,195,52,"patch.MPQ:Spells\Ice_Precast_Low_Hand.m2",1027,53,"patch.MPQ:Spells\ConeofCold_Hand.m2",4991,9,"patch.MPQ:Spells\Ice_ImpactDD_Med_Chest.m2",3531,,"patch.MPQ:Spells\Ice_Precast_Uber_Head.m2",0,,"","",MEASURED
"Mage",8494,"Mana Shield","Rank 2",6,INSTANT,0,60000,0,"6|0|0","97|0|0","1|0|0","0|0|0","1|0|0","0|0|0",968,266,52,"patch.MPQ:Spells\Magic_PreCast_Hand.m2",267,54,"patch.MPQ:Spells\Magic_Cast_Hand.m2",0,,"",990,,"patch.MPQ:Spells\ManaShield_State_Base.m2",0,,"","",MEASURED
"Mage",8495,"Mana Shield","Rank 3",6,INSTANT,0,60000,0,"6|0|0","97|0|0","1|0|0","0|0|0","1|0|0","0|0|0",968,266,52,"patch.MPQ:Spells\Magic_PreCast_Hand.m2",267,54,"patch.MPQ:Spells\Magic_Cast_Hand.m2",0,,"",990,,"patch.MPQ:Spells\ManaShield_State_Base.m2",0,,"","",MEASURED
"Mage",10053,"Conjure Mana Citrine","",6,CAST_TIME,3000,0,0,"24|0|0","0|0|0","1|0|0","0|0|0","0|0|0","8007|0|0",161,403,123,"patch.MPQ:Spells\ConjureItemCast.m2",260,,"",0,,"",0,,"",0,,"","",MEASURED
"Mage",10054,"Conjure Mana Ruby","",6,CAST_TIME,3000,0,0,"24|0|0","0|0|0","1|0|0","0|0|0","0|0|0","8008|0|0",161,403,123,"patch.MPQ:Spells\ConjureItemCast.m2",260,,"",0,,"",0,,"",0,,"","",MEASURED
"Mage",10059,"Portal: Stormwind","",6,CAST_TIME,10000,60000,0,"50|0|0","0|0|0","47|0|0","0|0|0","176296|0|0","0|0|0",2186,2065,52,"patch.MPQ:Spells\RitualSummoning_PreCast_Base.m2|patch.MPQ:Spells\Magic_PreCast_Hand.m2",1486,124,"patch.MPQ:Spells\RitualSummoning_PreCast_Base.m2|patch.MPQ:Spells\Shadow_Precast_Low_Hand.m2",0,,"",0,,"",729,124,"patch.MPQ:Spells\Magic_PreCast_Hand.m2","",MEASURED
"Mage",10138,"Conjure Water","Rank 5",6,CAST_TIME,3000,0,0,"24|0|0","0|0|0","1|0|0","0|0|0","0|0|0","8077|0|0",564,403,123,"patch.MPQ:Spells\ConjureItemCast.m2",656,,"",0,,"",0,,"",0,,"","",MEASURED
"Mage",10139,"Conjure Water","Rank 6",6,CAST_TIME,3000,0,0,"24|0|0","0|0|0","1|0|0","0|0|0","0|0|0","8078|0|0",564,403,123,"patch.MPQ:Spells\ConjureItemCast.m2",656,,"",0,,"",0,,"",0,,"","",MEASURED
"Mage",10140,"Conjure Water","Rank 7",6,CAST_TIME,3000,0,0,"24|0|0","0|0|0","1|0|0","0|0|0","0|0|0","8079|0|0",564,403,123,"patch.MPQ:Spells\ConjureItemCast.m2",656,,"",0,,"",0,,"",0,,"","",MEASURED
"Mage",10144,"Conjure Food","Rank 5",6,CAST_TIME,3000,0,0,"24|0|0","0|0|0","1|0|0","0|0|0","0|0|0","8075|0|0",563,403,123,"patch.MPQ:Spells\ConjureItemCast.m2",655,,"patch.MPQ:Spells\ConjureItemCast.m2",0,,"",0,,"",0,,"","",MEASURED
"Mage",10145,"Conjure Food","Rank 6",6,CAST_TIME,3000,0,0,"24|0|0","0|0|0","1|0|0","0|0|0","0|0|0","8076|0|0",563,403,123,"patch.MPQ:Spells\ConjureItemCast.m2",655,,"patch.MPQ:Spells\ConjureItemCast.m2",0,,"",0,,"",0,,"","",MEASURED
"Mage",10148,"Fireball","Rank 8",2,CAST_TIME,3500,8000,24,"2|6|0","0|3|0","6|6|0","0|0|0","0|0|0","0|0|0",67,30,51,"patch.MPQ:Spells\Fire_Precast_Hand.m2",38,53,"patch.MPQ:Spells\Fire_Cast_Hand.m2",286,9,"patch.MPQ:Spells\MoltenBlast_Impact_Chest.m2",0,,"",0,,"","patch.MPQ:Spells\Fireball_Missile_Low.m2",MEASURED
"Mage",10149,"Fireball","Rank 9",2,CAST_TIME,3500,8000,24,"2|6|0","0|3|0","6|6|0","0|0|0","0|0|0","0|0|0",67,30,51,"patch.MPQ:Spells\Fire_Precast_Hand.m2",38,53,"patch.MPQ:Spells\Fire_Cast_Hand.m2",286,9,"patch.MPQ:Spells\MoltenBlast_Impact_Chest.m2",0,,"",0,,"","patch.MPQ:Spells\Fireball_Missile_Low.m2",MEASURED
"Mage",10150,"Fireball","Rank 10",2,CAST_TIME,3500,8000,24,"2|6|0","0|3|0","6|6|0","0|0|0","0|0|0","0|0|0",67,30,51,"patch.MPQ:Spells\Fire_Precast_Hand.m2",38,53,"patch.MPQ:Spells\Fire_Cast_Hand.m2",286,9,"patch.MPQ:Spells\MoltenBlast_Impact_Chest.m2",0,,"",0,,"","patch.MPQ:Spells\Fireball_Missile_Low.m2",MEASURED
"Mage",10151,"Fireball","Rank 11",2,CAST_TIME,3500,8000,24,"2|6|0","0|3|0","6|6|0","0|0|0","0|0|0","0|0|0",67,30,51,"patch.MPQ:Spells\Fire_Precast_Hand.m2",38,53,"patch.MPQ:Spells\Fire_Cast_Hand.m2",286,9,"patch.MPQ:Spells\MoltenBlast_Impact_Chest.m2",0,,"",0,,"","patch.MPQ:Spells\Fireball_Missile_Low.m2",MEASURED
"Mage",10156,"Arcane Intellect","Rank 4",6,INSTANT,0,1800000,0,"6|0|0","29|0|0","21|0|0","0|0|0","3|0|0","0|0|0",158,0,,"",267,54,"patch.MPQ:Spells\Magic_Cast_Hand.m2",254,,"patch.MPQ:Spells\ArcaneIntellect_Impact_Base.m2",0,,"",0,,"","",MEASURED
"Mage",10157,"Arcane Intellect","Rank 5",6,INSTANT,0,1800000,0,"6|0|0","29|0|0","21|0|0","0|0|0","3|0|0","0|0|0",158,0,,"",267,54,"patch.MPQ:Spells\Magic_Cast_Hand.m2",254,,"patch.MPQ:Spells\ArcaneIntellect_Impact_Base.m2",0,,"",0,,"","",MEASURED
"Mage",10159,"Cone of Cold","Rank 3",4,INSTANT,0,8000,0,"6|2|0","33|0|0","24|24|0","0|0|0","0|0|0","0|0|0",1007,195,52,"patch.MPQ:Spells\Ice_Precast_Low_Hand.m2",1027,53,"patch.MPQ:Spells\ConeofCold_Hand.m2",4991,9,"patch.MPQ:Spells\Ice_ImpactDD_Med_Chest.m2",3531,,"patch.MPQ:Spells\Ice_Precast_Uber_Head.m2",0,,"","",MEASURED
"Mage",10160,"Cone of Cold","Rank 4",4,INSTANT,0,8000,0,"6|2|0","33|0|0","24|24|0","0|0|0","0|0|0","0|0|0",1007,195,52,"patch.MPQ:Spells\Ice_Precast_Low_Hand.m2",1027,53,"patch.MPQ:Spells\ConeofCold_Hand.m2",4991,9,"patch.MPQ:Spells\Ice_ImpactDD_Med_Chest.m2",3531,,"patch.MPQ:Spells\Ice_Precast_Uber_Head.m2",0,,"","",MEASURED
"Mage",10161,"Cone of Cold","Rank 5",4,INSTANT,0,8000,0,"6|2|0","33|0|0","24|24|0","0|0|0","0|0|0","0|0|0",1007,195,52,"patch.MPQ:Spells\Ice_Precast_Low_Hand.m2",1027,53,"patch.MPQ:Spells\ConeofCold_Hand.m2",4991,9,"patch.MPQ:Spells\Ice_ImpactDD_Med_Chest.m2",3531,,"patch.MPQ:Spells\Ice_Precast_Uber_Head.m2",0,,"","",MEASURED
"Mage",10169,"Amplify Magic","Rank 3",6,INSTANT,0,600000,0,"6|6|0","14|115|0","57|57|0","0|0|0","126|126|0","0|0|0",969,266,52,"patch.MPQ:Spells\Magic_PreCast_Hand.m2",267,54,"patch.MPQ:Spells\Magic_Cast_Hand.m2",991,,"patch.MPQ:Spells\AmplifyMagic_Impact_Base.m2",0,,"",0,,"","",MEASURED
"Mage",10170,"Amplify Magic","Rank 4",6,INSTANT,0,600000,0,"6|6|0","14|115|0","57|57|0","0|0|0","126|126|0","0|0|0",969,266,52,"patch.MPQ:Spells\Magic_PreCast_Hand.m2",267,54,"patch.MPQ:Spells\Magic_Cast_Hand.m2",991,,"patch.MPQ:Spells\AmplifyMagic_Impact_Base.m2",0,,"",0,,"","",MEASURED
"Mage",10173,"Dampen Magic","Rank 4",6,INSTANT,0,600000,0,"6|6|0","14|115|0","57|57|0","0|0|0","126|126|0","0|0|0",970,266,52,"patch.MPQ:Spells\Magic_PreCast_Hand.m2",267,54,"patch.MPQ:Spells\Magic_Cast_Hand.m2",992,,"patch.MPQ:Spells\ArcaneSpirit_Impact_Base.m2",0,,"",0,,"","",MEASURED
"Mage",10174,"Dampen Magic","Rank 5",6,INSTANT,0,600000,0,"6|6|0","14|115|0","57|57|0","0|0|0","126|126|0","0|0|0",970,266,52,"patch.MPQ:Spells\Magic_PreCast_Hand.m2",267,54,"patch.MPQ:Spells\Magic_Cast_Hand.m2",992,,"patch.MPQ:Spells\ArcaneSpirit_Impact_Base.m2",0,,"",0,,"","",MEASURED
"Mage",10177,"Frost Ward","Rank 4",4,INSTANT,0,30000,0,"6|6|0","69|74|0","1|1|0","0|0|0","16|16|0","0|0|0",291,197,52,"patch.MPQ:Spells\Ice_Precast_Low_Hand.m2|patch.MPQ:Spells\Ice_Precast_Med_Hand.m2",205,54,"patch.MPQ:Spells\Ice_Precast_Med_Hand.m2",450,,"patch.MPQ:Spells\FrostWard_Impact_Chest.m2",0,,"",0,,"","",MEASURED
"Mage",10179,"Frostbolt","Rank 8",4,CAST_TIME,3000,9000,28,"6|2|0","33|0|0","6|6|0","0|0|0","0|0|0","0|0|0",13,194,51,"patch.MPQ:Spells\Ice_Precast_Low_Hand.m2",202,53,"patch.MPQ:Spells\Ice_Precast_Low_Hand.m2",4991,9,"patch.MPQ:Spells\Ice_ImpactDD_Med_Chest.m2",3531,,"patch.MPQ:Spells\Ice_Precast_Uber_Head.m2",0,,"","patch.MPQ:Spells\Frostbolt.m2",MEASURED
"Mage",10180,"Frostbolt","Rank 9",4,CAST_TIME,3000,9000,28,"6|2|0","33|0|0","6|6|0","0|0|0","0|0|0","0|0|0",13,194,51,"patch.MPQ:Spells\Ice_Precast_Low_Hand.m2",202,53,"patch.MPQ:Spells\Ice_Precast_Low_Hand.m2",4991,9,"patch.MPQ:Spells\Ice_ImpactDD_Med_Chest.m2",3531,,"patch.MPQ:Spells\Ice_Precast_Uber_Head.m2",0,,"","patch.MPQ:Spells\Frostbolt.m2",MEASURED
"Mage",10181,"Frostbolt","Rank 10",4,CAST_TIME,3000,9000,28,"6|2|0","33|0|0","6|6|0","0|0|0","0|0|0","0|0|0",13,194,51,"patch.MPQ:Spells\Ice_Precast_Low_Hand.m2",202,53,"patch.MPQ:Spells\Ice_Precast_Low_Hand.m2",4991,9,"patch.MPQ:Spells\Ice_ImpactDD_Med_Chest.m2",3531,,"patch.MPQ:Spells\Ice_Precast_Uber_Head.m2",0,,"","patch.MPQ:Spells\Frostbolt.m2",MEASURED
"Mage",10185,"Blizzard","Rank 4",4,CHANNEL,0,8000,0,"27|0|0","3|0|0","28|0|0","0|0|0","0|0|0","0|0|0",259,197,52,"patch.MPQ:Spells\Ice_Precast_Low_Hand.m2|patch.MPQ:Spells\Ice_Precast_Med_Hand.m2",5390,125,"patch.MPQ:Spells\Ice_Precast_Med_Hand.m2",413,,"patch.MPQ:Spells\Blizzard_Impact_Base.m2",0,,"",717,125,"patch.MPQ:Spells\Ice_Precast_Low_Hand.m2","",MEASURED
"Mage",10186,"Blizzard","Rank 5",4,CHANNEL,0,8000,0,"27|0|0","3|0|0","28|0|0","0|0|0","0|0|0","0|0|0",259,197,52,"patch.MPQ:Spells\Ice_Precast_Low_Hand.m2|patch.MPQ:Spells\Ice_Precast_Med_Hand.m2",5390,125,"patch.MPQ:Spells\Ice_Precast_Med_Hand.m2",413,,"patch.MPQ:Spells\Blizzard_Impact_Base.m2",0,,"",717,125,"patch.MPQ:Spells\Ice_Precast_Low_Hand.m2","",MEASURED
"Mage",10187,"Blizzard","Rank 6",4,CHANNEL,0,8000,0,"27|0|0","3|0|0","28|0|0","0|0|0","0|0|0","0|0|0",259,197,52,"patch.MPQ:Spells\Ice_Precast_Low_Hand.m2|patch.MPQ:Spells\Ice_Precast_Med_Hand.m2",5390,125,"patch.MPQ:Spells\Ice_Precast_Med_Hand.m2",413,,"patch.MPQ:Spells\Blizzard_Impact_Base.m2",0,,"",717,125,"patch.MPQ:Spells\Ice_Precast_Low_Hand.m2","",MEASURED
"Mage",10191,"Mana Shield","Rank 4",6,INSTANT,0,60000,0,"6|0|0","97|0|0","1|0|0","0|0|0","1|0|0","0|0|0",968,266,52,"patch.MPQ:Spells\Magic_PreCast_Hand.m2",267,54,"patch.MPQ:Spells\Magic_Cast_Hand.m2",0,,"",990,,"patch.MPQ:Spells\ManaShield_State_Base.m2",0,,"","",MEASURED
"Mage",10192,"Mana Shield","Rank 5",6,INSTANT,0,60000,0,"6|0|0","97|0|0","1|0|0","0|0|0","1|0|0","0|0|0",968,266,52,"patch.MPQ:Spells\Magic_PreCast_Hand.m2",267,54,"patch.MPQ:Spells\Magic_Cast_Hand.m2",0,,"",990,,"patch.MPQ:Spells\ManaShield_State_Base.m2",0,,"","",MEASURED
"Mage",10193,"Mana Shield","Rank 6",6,INSTANT,0,60000,0,"6|0|0","97|0|0","1|0|0","0|0|0","1|0|0","0|0|0",968,266,52,"patch.MPQ:Spells\Magic_PreCast_Hand.m2",267,54,"patch.MPQ:Spells\Magic_Cast_Hand.m2",0,,"",990,,"patch.MPQ:Spells\ManaShield_State_Base.m2",0,,"","",MEASURED
"Mage",10197,"Fire Blast","Rank 6",2,INSTANT,0,0,0,"2|0|0","0|0|0","6|0|0","0|0|0","0|0|0","0|0|0",143,0,,"",38,53,"patch.MPQ:Spells\Fire_Cast_Hand.m2",728,9,"patch.MPQ:Spells\Fire_ImpactDD_Chest.m2",0,,"",0,,"","",MEASURED
"Mage",10199,"Fire Blast","Rank 7",2,INSTANT,0,0,0,"2|0|0","0|0|0","6|0|0","0|0|0","0|0|0","0|0|0",143,0,,"",38,53,"patch.MPQ:Spells\Fire_Cast_Hand.m2",728,9,"patch.MPQ:Spells\Fire_ImpactDD_Chest.m2",0,,"",0,,"","",MEASURED
"Mage",10201,"Arcane Explosion","Rank 5",6,INSTANT,0,0,0,"2|0|0","0|0|0","22|0|0","15|0|0","0|0|0","0|0|0",965,266,52,"patch.MPQ:Spells\Magic_PreCast_Hand.m2",1004,54,"patch.MPQ:Spells\ArcaneExplosion_Base.m2",1005,,"patch.MPQ:Spells\ArcaneExplosion_Impact_Chest.m2",0,,"",0,,"","",MEASURED
"Mage",10202,"Arcane Explosion","Rank 6",6,INSTANT,0,0,0,"2|0|0","0|0|0","22|0|0","15|0|0","0|0|0","0|0|0",965,266,52,"patch.MPQ:Spells\Magic_PreCast_Hand.m2",1004,54,"patch.MPQ:Spells\ArcaneExplosion_Base.m2",1005,,"patch.MPQ:Spells\ArcaneExplosion_Impact_Chest.m2",0,,"",0,,"","",MEASURED
"Mage",10205,"Scorch","Rank 5",2,CAST_TIME,1500,0,0,"2|0|0","0|0|0","6|0|0","0|0|0","0|0|0","0|0|0",945,30,51,"patch.MPQ:Spells\Fire_Precast_Hand.m2",38,53,"patch.MPQ:Spells\Fire_Cast_Hand.m2",2609,,"patch.MPQ:Spells\Scorch_Low_Chest.m2",0,,"",0,,"","",MEASURED
"Mage",10206,"Scorch","Rank 6",2,CAST_TIME,1500,0,0,"2|0|0","0|0|0","6|0|0","0|0|0","0|0|0","0|0|0",945,30,51,"patch.MPQ:Spells\Fire_Precast_Hand.m2",38,53,"patch.MPQ:Spells\Fire_Cast_Hand.m2",2609,,"patch.MPQ:Spells\Scorch_Low_Chest.m2",0,,"",0,,"","",MEASURED
"Mage",10207,"Scorch","Rank 7",2,CAST_TIME,1500,0,0,"2|0|0","0|0|0","6|0|0","0|0|0","0|0|0","0|0|0",945,30,51,"patch.MPQ:Spells\Fire_Precast_Hand.m2",38,53,"patch.MPQ:Spells\Fire_Cast_Hand.m2",2609,,"patch.MPQ:Spells\Scorch_Low_Chest.m2",0,,"",0,,"","",MEASURED
"Mage",10211,"Arcane Missiles","Rank 6",6,CHANNEL,0,5000,0,"6|6|0","23|4|0","1|6|0","0|0|0","0|0|0","0|0|0",262,0,,"",0,,"",0,,"",0,,"",729,124,"patch.MPQ:Spells\Magic_PreCast_Hand.m2","",MEASURED
"Mage",10212,"Arcane Missiles","Rank 7",6,CHANNEL,0,5000,0,"6|6|0","23|4|0","1|6|0","0|0|0","0|0|0","0|0|0",262,0,,"",0,,"",0,,"",0,,"",729,124,"patch.MPQ:Spells\Magic_PreCast_Hand.m2","",MEASURED
"Mage",10215,"Flamestrike","Rank 5",2,CAST_TIME,3000,8000,0,"2|27|0","0|3|0","16|28|0","0|0|0","0|0|0","0|0|0",33,60,52,"patch.MPQ:Spells\Fire_Precast_Hand.m2",61,54,"patch.MPQ:Spells\Fire_Cast_Hand.m2",0,,"",235,,"patch.MPQ:Spells\Immolate_State_Base.m2",716,125,"patch.MPQ:Spells\Fire_Precast_Low_Hand.m2","",MEASURED
"Mage",10216,"Flamestrike","Rank 6",2,CAST_TIME,3000,8000,0,"2|27|0","0|3|0","16|28|0","0|0|0","0|0|0","0|0|0",33,60,52,"patch.MPQ:Spells\Fire_Precast_Hand.m2",61,54,"patch.MPQ:Spells\Fire_Cast_Hand.m2",0,,"",235,,"patch.MPQ:Spells\Immolate_State_Base.m2",716,125,"patch.MPQ:Spells\Fire_Precast_Low_Hand.m2","",MEASURED
"Mage",10219,"Ice Armor","Rank 3",4,INSTANT,0,1800000,0,"6|6|6","22|42|22","1|1|1","0|0|0","1|0|16","0|0|0",706,194,51,"patch.MPQ:Spells\Ice_Precast_Low_Hand.m2",203,54,"patch.MPQ:Spells\Ice_Precast_Low_Hand.m2",768,,"patch.MPQ:Spells\IceArmor_Low_Head.m2",0,,"",0,,"","",MEASURED
"Mage",10220,"Ice Armor","Rank 4",4,INSTANT,0,1800000,0,"6|6|6","22|42|22","1|1|1","0|0|0","1|0|16","0|0|0",706,194,51,"patch.MPQ:Spells\Ice_Precast_Low_Hand.m2",203,54,"patch.MPQ:Spells\Ice_Precast_Low_Hand.m2",768,,"patch.MPQ:Spells\IceArmor_Low_Head.m2",0,,"",0,,"","",MEASURED
"Mage",10223,"Fire Ward","Rank 4",2,INSTANT,0,30000,0,"6|6|0","69|74|0","1|1|0","0|0|0","4|4|0","0|0|0",290,60,52,"patch.MPQ:Spells\Fire_Precast_Hand.m2",61,54,"patch.MPQ:Spells\Fire_Cast_Hand.m2",448,,"patch.MPQ:Spells\FireWard_Impact_Chest.m2",0,,"",0,,"","",MEASURED
"Mage",10225,"Fire Ward","Rank 5",2,INSTANT,0,30000,0,"6|6|0","69|74|0","1|1|0","0|0|0","4|4|0","0|0|0",290,60,52,"patch.MPQ:Spells\Fire_Precast_Hand.m2",61,54,"patch.MPQ:Spells\Fire_Cast_Hand.m2",448,,"patch.MPQ:Spells\FireWard_Impact_Chest.m2",0,,"",0,,"","",MEASURED
"Mage",10230,"Frost Nova","Rank 4",4,INSTANT,0,8000,0,"2|6|0","0|26|0","22|22|0","15|15|0","0|0|0","0|0|0",17,195,52,"patch.MPQ:Spells\Ice_Precast_Low_Hand.m2",160,54,"patch.MPQ:Spells\Frost_Nova_area.m2",0,,"",285,,"patch.MPQ:Spells\Ice_Precast_Uber_Head.m2",0,,"","",MEASURED
